tractIDs,SimpleLin,MultLin,SimpleNonLin,MultNonLin
leftArc,-1897.89964970609,-1901.9830330524,-1899.68244655198,-1898.19074631
leftAslant,-1919.31868830909,-1918.12836409112,-1918.20013271301,-1918.31387209041
leftCST,-2100.35628592849,-2099.72247642705,-2102.18810676374,-2105.48557977049
leftIFOF,-1683.4598433747,-1686.88820775533,-1690.59312840283,-1693.24336393314
leftILF,-1642.96411188086,-1640.71029526034,-1646.11262841819,-1650.24471903265
leftMDLFang,-1568.00120903785,-1564.66624077348,-1563.65419169271,-1567.0997747127
leftMDLFspl,-1752.97749547018,-1757.97468242524,-1754.22479694386,-1759.91967801995
leftSLF1And2,-2036.02748540637,-2036.32088589885,-2048.80979593415,-2054.80990551943
leftSLF3,-1794.73341257238,-1810.33331043898,-1803.49676299874,-1810.13251358589
leftTPC,-1850.23216733407,-1850.25156679725,-1854.86615262683,-1854.87900564907
leftVOF,-1436.03426129436,-1442.83960533475,-1455.44009408628,-1460.23619762846
leftpArc,-1780.50675715824,-1781.23451400471,-1773.69808721883,-1777.0905094818
rightArc,-1967.50661831934,-1967.51113659062,-1965.88293944955,-1965.89845312871
rightAslant,-1956.45866724429,-1957.7536296568,-1964.34116163822,-1966.71525054698
rightCST,-2082.09580567766,-2070.38263491635,-2072.14819218374,-2072.30540930071
rightIFOF,-1722.71575914329,-1722.74505676424,-1727.05831094165,-1729.87178592752
rightILF,-1708.79507915357,-1708.84834654311,-1717.38755325445,-1717.4638090957
rightMDLFang,-1589.07200069539,-1594.29090073844,-1586.70562421043,-1605.04968729414
rightMDLFspl,-1745.65197824825,-1737.43700400905,-1749.74512178967,-1750.06223489373
rightSLF1And2,-2016.84414242148,-2018.73009718256,-2019.53970082499,-2025.77802402595
rightSLF3,-1817.23463184032,-1822.16523532784,-1822.32301811329,-1829.13846809096
rightTPC,-1869.60060413933,-1870.20613022105,-1877.96662256246,-1878.06585306283
rightVOF,-1544.11908104003,-1544.02854324382,-1560.72438189555,-1566.12101281173
rightpArc,-1741.51190241219,-1735.73911090495,-1741.66559479841,-1746.35302784648
