SampleNum,rightpArc,rightMDLFang,rightMDLFspl,rightTPC,leftpArc,leftMDLFang,leftMDLFspl,leftTPC
1,12.08333333,7.166666667,11.17488,4.666666667,14.5,15.029774,13.430869,17.717773
2,18.08333333,14.511749,16.888204,13.663586,10.16666667,14.08333333,17.556696,8.666666667
3,3.416666667,17,17.75,15.16666667,11.16666667,16.58333333,3.25,14.906456
4,12.08333333,14.58333333,9.416666667,5.487793,5.75,4.75,14.511749,3.666666667
5,16.33333333,5.5,20.75,11.286675,5.916666667,4.833333333,7.355007,7.768879
6,9.58955,9,20.157768,10.172256,8.416666667,21.222792,6.416666667,13.430869
7,11.97148,9.25,7.100387,11.552133,9.833333333,11.17488,4.916666667,14.08333333
8,19.207164,14.16666667,17.235911,20.66666667,15.83333333,13.91666667,20.274811,9.633013
9,4.416666667,18.339265,18.83333333,14.5,5,6.5,3.666666667,15.08333333
10,13.506958,17.603239,12.765229,20.75,11.66666667,9.759297,9.416666667,12
11,19.25,4.333333333,16.58333333,10.104266,17.603239,17.25,4.083333333,18.654688
12,13.381473,15,10.172256,12.765229,10.33333333,9.759297,15.987451,16.75
13,8.583333333,9.5,10.91666667,10.66666667,10.58333333,8.833333333,20.274811,11.33333333
14,13.66666667,15.41666667,12.5,10.16666667,9.436344,16.365845,21.819644,15.779374
15,21.216746,3.333333333,11.286675,17.603239,16.157198,12.75,19.5,15.08333333
16,5.660848,17.717773,16.33333333,14,21.222792,17.41666667,7.853524,7.407027
17,19.58333333,8.583333333,11.17488,11.83333333,11.286675,18.5,8,16.75
18,6.583333333,17,16.25,5.583333333,8.784166,14.25,7.333333333,5.832762
19,4.25,14.66666667,15.336413,19.41666667,16.349418,4.583333333,5.416666667,15.5
20,9.759297,8.166666667,20.08333333,10.66666667,7.407027,3.083333333,10.25,18.202943
21,5.189368,16.157198,16.25,14.66666667,15.730663,8.583333333,9.25,3.583333333
22,9.583333333,12.41666667,5.333333333,7.401893,14.75,17.91666667,7.583333333,3.666666667
23,14,17.58333333,7,10.172256,9.333333333,12.83333333,8.5,15.08333333
24,12.59263,6,11.787702,6,20.157768,11.180355,5.833333333,12.16666667
25,8.666666667,5.487793,3.333333333,9.633013,13.430869,17.41666667,14.963951,9.916666667
26,9.436344,17.58333333,11.5,17.115902,5.5,10.66666667,9.572781,11.053844
27,14.33333333,11.58333333,16.25,10.172256,13.506958,7.833333333,9.083333333,7.70819
28,4.333333333,14.906456,13.83333333,16.58333333,17.25,6.583333333,21.819644,12.08333333
29,17.58333333,17.91666667,7.401893,12,20.877823,18.090691,13.430869,15.08333333
30,15.029774,5.55624,16.25,15.747091,8.583333333,6.916666667,8.833333333,6.5
31,7.166666667,18.58333333,3.416666667,5.583333333,8,20.25,15.393908,19.58333333
32,5.916666667,11.25,7.401893,12.08333333,15.336413,17.717773,3,5.25
33,19.204882,17,10.793862,21.222792,20.58333333,21.216746,9.58955,12.075062
34,8.488478,13.66666667,21.222792,17.91666667,8.833333333,15.25,12.41666667,8.166666667
35,13.08333333,11.5,18.202943,10.16666667,5.25,15.393908,10.25,16.888204
36,18.66666667,6.166666667,20.33333333,14.83333333,21.819644,14.233059,20.25,13.381473
37,18.83333333,7.833333333,11.17488,17.58333333,16.33333333,10,5.666666667,9.25
38,11.58333333,16.25,5.5,12.5,18.090691,13.91666667,17,5.583333333
39,14.117955,15.336413,17.603239,15.987451,19,14.117955,11.467259,12.41666667
40,3.416666667,17.25,8.166666667,18.08333333,11.25,7,17.989276,14.233059
41,13.91666667,16.41666667,13.381473,20.58333333,15.16666667,5.189368,4.833333333,7
42,8.784166,10.25,14.16666667,15.08333333,18.33333333,7.416666667,20,19.89984
43,11.58333333,14.75,7.70819,15.029774,15.747091,13.33333333,5.832762,5.832762
44,17.795003,13,11.75,17.235911,18.83333333,5.333333333,4.166666667,19.5
45,17.58333333,7,17.83333333,12.25,16.888204,17.556696,13.895847,6.416666667
46,10.33333333,8.75,8.833333333,10.66666667,15.08333333,14.511749,19.58333333,19.08333333
47,10.5,5.25,14.963951,19.66666667,4.25,9,6.416666667,10.66666667
48,11.5,19,18.832648,16.58333333,16.41666667,9.759297,3.416666667,16.41666667
49,21.819644,16.962126,6.5,15.83333333,14.906456,9.5,4.416666667,12.58333333
50,11.333675,16.940109,15.393908,6.561031,17.91666667,17.795003,18.339265,6.916666667
51,15.75,4.666666667,11.787702,12.75,16.41666667,5.916666667,6.166666667,11.66666667
52,19.58333333,5.833333333,13.66666667,9.633013,5.25,4.25,9.25,16.58333333
53,8.75,7.666666667,17.137577,16.365845,5.583333333,20.66666667,18.202943,11.229066
54,14.66666667,20.25,5.25,13.08333333,12.452886,14.66666667,19.89984,8.25
55,14.320214,4.416666667,4.333333333,13.506958,5.5,18.339265,7.416666667,5.25
56,15.75,5.203627,19.204882,17.25,13.33333333,8.416666667,13.430869,19.207734
57,11.75,17.603239,14.58333333,19.89984,14.08333333,12.83333333,9.633013,4.083333333
58,11.33333333,11.333675,11.33333333,11.333675,19.207734,17.75,16.940109,5.916666667
59,15.66666667,13.66666667,12.5,10.41666667,20.33333333,9.416666667,5.660848,17.235911
60,13.506958,14.25,8.5,3.083333333,12.25,20,17.526123,12.58333333
61,5.166666667,17.137577,20.08333333,16.41666667,15.75,18.202943,20.274811,12.5
62,17.569815,15.779374,13.895847,5.55624,21.41666667,20.274811,20.41666667,8
63,19,9.416666667,8.166666667,12.33333333,18.339265,12,8.166666667,6.583333333
64,17.603239,19.66666667,5.416666667,10.172256,5.416666667,10.58333333,13.5,5.203627
65,5.583333333,3.583333333,6,8.25,18.83333333,19.207734,17.717773,20.41666667
66,8.75,4.833333333,6.666666667,7,15,3.25,18.16666667,16.75
67,12.765229,4.666666667,17.235911,8.784166,18.33333333,3.083333333,5.25,20.08333333
68,6.25,21.5,4.916666667,6.583333333,19.5,15.336413,5.583333333,18.5
69,5.660848,18.83333333,15.16666667,10.104266,7.416666667,21.16666667,16.365845,9.75
70,20.58333333,15.08333333,19.33333333,15.08333333,10.83333333,7.583333333,14.91666667,8.666666667
71,5.666666667,7.532968,17,13.663586,13.58333333,5.487793,9.633013,15.41666667
72,7.401893,5.5,17.137577,17.989276,11.286675,3.833333333,8.416666667,17.137577
73,6.583333333,18.5,15.08333333,19.207734,12,4.416666667,20.274811,11.333675
74,6.583333333,14,18.08333333,6.916666667,19.207734,9.166666667,6.166666667,9.028405
75,4.75,4.333333333,11.75,4.833333333,12.33333333,8.583333333,21.819644,13.58333333
76,20.83333333,18.654688,18.58333333,21,7,16.33333333,7.70819,6.666666667
77,4.333333333,9,17.41666667,13.91666667,20.16666667,6.561031,14.33333333,14.117955
78,18.83333333,12.25,14.25,12.497262,6.583333333,6,18.090691,7.75
79,13.663586,12.497262,7.401893,8.833333333,8.5,5.833333333,7.5,15.08333333
80,11.467259,16.157198,7,17.75,5.832762,14.233059,3.583333333,17.25
81,7.75,14.08333333,11.180355,15.33333333,12.58333333,11.41666667,19.83333333,7.853524
82,4.083333333,19,10.91666667,15.779374,5.083333333,7.768879,10.454711,3.5
83,12.33333333,19.89984,14.511749,19.204882,12.91666667,16.349418,15.987451,8.583333333
84,20.877823,19.58333333,13.33333333,16.75,15.66666667,12.765229,10.75,15.25
85,7.166666667,9,11.229066,15.393908,12.497262,13.895847,10.5,21.819644
86,7.70819,19.207734,20.83333333,3.25,7.100387,8,7.365959,9.166666667
87,12.83333333,8.5,5.819644,5.75,12.59263,9.833333333,14.5,13.33333333
