"Name of Track","Red","Green","Blue","Color Name","",""
"rightIFOF","142","198","255","light blue","",""
"leftIFOF","142","198","255","light blue","",""
"leftILF","0","127","255","dark blue","",""
"rightILF","0","127","255","dark blue","",""
"rightSLF1And2","237","177","32","burnt yellow","",""
"leftSLF1And2","237","177","32","burnt yellow","",""
"rightSLF3","240","221","165","light burnt yellow","",""
"leftSLF3","240","221","165","light burnt yellow","",""
"rightArc","100","112","200","medium purple","",""
"leftArc","100","112","200","medium purple","",""
"leftTPC","27","102","87","dark turquoise","",""
"rightTPC","27","102","87","dark turquoise","",""
"leftMDLFspl","42","102","0","green","",""
"rightMDLFspl","42","102","0","green","",""
"leftMDLFang","207","255","226","sea foam","",""
"rightMDLFang","207","255","226","sea foam","",""
"leftVOF","147","112","219","medium purple","",""
"rightVOF","147","112","219","medium purple","",""
"leftAslant","240","128","128","light coral","",""
"rightAslant","240","128","128","light coral","",""
"leftpArc","64","224","208","turquoise","",""
"rightpArc","64","224","208","turquoise","",""
"leftCST","240","128","128","light coral","",""
"rightCST","240","128","128","light coral","",""
