tractIDs,SimpleLin,MultLin,SimpleNonLin,MultNonLin
leftArc,0.0915331751989933,0.0914955606594974,0.0977095438460239,0.0916974016884242
leftAslant,0.227386487077373,0.232375165358645,0.230724343017646,0.230354103932298
leftCST,-0.00203209249748371,-0.00173509006083461,0.0126126665289656,0.0105977088879308
leftIFOF,0.197718248648489,0.203805546655739,0.210803562331916,0.209617391307052
leftILF,0.13073194597612,0.124951751417207,0.138991681471353,0.143098826767364
leftMDLFang,0.0958531841367349,0.0862074393410664,0.104119527116848,0.102104910646793
leftMDLFspl,0.162754924280873,0.170149618728877,0.188624900280949,0.174809646906842
leftSLF1And2,0.192352779806831,0.186234860660645,0.23576707886314,0.229611192955892
leftSLF3,0.147984353350915,0.152543519259673,0.167303762453295,0.159494690021288
leftTPC,0.104957045388749,0.10489099152035,0.120142687867556,0.120288148878033
leftVOF,0.0979296218410831,0.0974748505746232,0.137061077001059,0.133500550775749
leftpArc,0.0469550916648898,0.0465789415311902,0.0716654110979772,0.066115720960648
rightArc,0.118108168340075,0.118132950879784,0.116927093831712,0.116998566223576
rightAslant,0.179085970406853,0.176322426798182,0.207624216272529,0.198035349261739
rightCST,0.00765583339854248,0.0084954965049584,0.0118672325448136,0.0116572239423703
rightIFOF,0.198183528126497,0.198029920922091,0.207180211866763,0.211554052365744
rightILF,0.143898506164449,0.143734476470542,0.170995121158076,0.171507139089111
rightMDLFang,0.142869083231678,0.132326645764153,0.144872206390948,0.139780095908794
rightMDLFspl,0.195392392597295,0.186695906765316,0.221631177135042,0.220896162774623
rightSLF1And2,0.234680755164335,0.235003133160786,0.240368457526802,0.24146608753562
rightSLF3,0.182191737183344,0.181925697095052,0.192576529690088,0.198366165218848
rightTPC,0.129198315684872,0.128832981924871,0.154131130339562,0.153649693049215
rightVOF,0.0586003358033146,0.0558045299527854,0.0844988988757065,0.098776169372481
rightpArc,0.135472353833817,0.126628754983638,0.160600358660434,0.148037192547585
