tractIDs,SimpleLin,MultLin,SimpleNonLin,MultNonLin
leftArc,0.0934457369354166,0.0934122366918614,0.101516676572412,0.0955218336813151
leftAslant,0.229033850644372,0.234008409687669,0.233990906316935,0.233622239372076
leftCST,7.74487498794718e-05,0.000360590043894993,0.0167526553485506,0.0147461461672266
leftIFOF,0.199436196724188,0.205514118444032,0.214190671506457,0.213016886398204
leftILF,0.1325853959847,0.126813556201425,0.142655546656581,0.146752989553004
leftMDLFang,0.0977892586889046,0.0881558243318105,0.107931784448265,0.105925740814254
leftMDLFspl,0.164521264103065,0.171904059281247,0.192034039355399,0.178291462742678
leftSLF1And2,0.194071178147668,0.187958939345686,0.239040024992206,0.232917582685695
leftSLF3,0.149759385948101,0.154316440767498,0.170780573466016,0.162996795479533
leftTPC,0.1068453216643,0.106779407150054,0.12385516597782,0.124000013228758
leftVOF,0.0998949167826058,0.0994411363032188,0.140821159454213,0.137276147504394
leftpArc,0.0490314422277113,0.0486561115932137,0.0756582480394913,0.070149778321509
rightArc,0.119988534718881,0.120013264417353,0.120692863154392,0.120764030759936
rightAslant,0.180851376922108,0.178093776417971,0.211003217482455,0.201462548623868
rightCST,0.0097762269169217,0.0105872781579015,0.0160542357967423,0.0158362631646013
rightIFOF,0.199882291838093,0.19972901007268,0.210539617748684,0.214902018173108
rightILF,0.145700825098839,0.145537140730604,0.174478334934723,0.174988201529913
rightMDLFang,0.14470841996294,0.134184618685429,0.148526598671329,0.143479966464025
rightMDLFspl,0.197107973849753,0.188419008657763,0.224936352603683,0.22420445932335
rightSLF1And2,0.236298766252783,0.236620462688987,0.243566906126689,0.24467341908938
rightSLF3,0.183913438789274,0.183647958785378,0.195976207459814,0.20174858646265
rightTPC,0.131043234507573,0.130678674759776,0.157707742896266,0.157228341281565
rightVOF,0.060642417504392,0.0578482430914157,0.0884880104274463,0.102703070595259
rightpArc,0.137347684953484,0.128502942204703,0.164218460562759,0.151709446027983
